term,page,page_num,chapter,ch_title,formatted
ellipse.axes(),129,129,5,Dimension Reduction,\texttt{ellipse.axes()}
prcomp(),130,130,5,Dimension Reduction,\texttt{prcomp()}
princomp(),130,130,5,Dimension Reduction,\texttt{princomp()}
PCA(),130,130,5,Dimension Reduction,\texttt{PCA()}
FactoMineR,130,130,5,Dimension Reduction,\texttt{FactoMineR} package
packages!FactoMineR,130,130,5,Dimension Reduction,packages!\texttt{FactoMineR}
tidy(),133,133,5,Dimension Reduction,\texttt{tidy()}
plot(),133,133,5,Dimension Reduction,\texttt{plot()}
ggscreeplot(),133,133,5,Dimension Reduction,\texttt{ggscreeplot()}
augment(),135,135,5,Dimension Reduction,\texttt{augment()}
coord_fixed(),135,135,5,Dimension Reduction,\texttt{coord\_fixed()}
geom_segment(),137,137,5,Dimension Reduction,\texttt{geom\_segment()}
geom_text(),137,137,5,Dimension Reduction,\texttt{geom\_text()}
coord_fixed(),137,137,5,Dimension Reduction,\texttt{coord\_fixed()}
principal components analysis,139,139,5,Dimension Reduction,NA
biplot,139,139,5,Dimension Reduction,NA
singular value decomposition,140,140,5,Dimension Reduction,NA
SVD,140,140,5,Dimension Reduction,NA
biplot(),141,141,5,Dimension Reduction,\texttt{biplot()}
factoextra,142,142,5,Dimension Reduction,\texttt{factoextra} package
packages!factoextra,142,142,5,Dimension Reduction,packages!\texttt{factoextra}
FactoMineR,142,142,5,Dimension Reduction,\texttt{FactoMineR} package
packages!FactoMineR,142,142,5,Dimension Reduction,packages!\texttt{FactoMineR}
fviz_pca(),142,142,5,Dimension Reduction,\texttt{fviz\_pca()}
fviz_ca(),142,142,5,Dimension Reduction,\texttt{fviz\_ca()}
fviz_mca(),142,142,5,Dimension Reduction,\texttt{fviz\_mca()}
fviz_famd(),142,142,5,Dimension Reduction,\texttt{fviz\_famd()}
fviz_cluster(),142,142,5,Dimension Reduction,\texttt{fviz\_cluster()}
adegraphics,142,142,5,Dimension Reduction,\texttt{adegraphics} package
packages!adegraphics,142,142,5,Dimension Reduction,packages!\texttt{adegraphics}
lattice,142,142,5,Dimension Reduction,\texttt{lattice} package
packages!lattice,142,142,5,Dimension Reduction,packages!\texttt{lattice}
ggbiplot,142,142,5,Dimension Reduction,\texttt{ggbiplot} package
packages!ggbiplot,142,142,5,Dimension Reduction,packages!\texttt{ggbiplot}
factoextra,142,142,5,Dimension Reduction,\texttt{factoextra} package
packages!factoextra,142,142,5,Dimension Reduction,packages!\texttt{factoextra}
get_pca_var(),145,145,5,Dimension Reduction,\texttt{get\_pca\_var()}
fviz_contrib(),145,145,5,Dimension Reduction,\texttt{fviz\_contrib()}
fviz_cos2(),145,145,5,Dimension Reduction,\texttt{fviz\_cos2()}
PCA(),148,148,5,Dimension Reduction,\texttt{PCA()}
plot(),149,149,5,Dimension Reduction,\texttt{plot()}
fviz_pca_var(),149,149,5,Dimension Reduction,\texttt{fviz\_pca\_var()}
fviz_pca_biplot(),149,149,5,Dimension Reduction,\texttt{fviz\_pca\_biplot()}
plot(),149,149,5,Dimension Reduction,\texttt{plot()}
Diabetes,150,150,5,Dimension Reduction,\texttt{Diabetes} data
datasets!Diabetes,150,150,5,Dimension Reduction,datasets!\texttt{Diabetes}
scatter3d(),150,150,5,Dimension Reduction,\texttt{scatter3d()}
PRIM-9,150,150,5,Dimension Reduction,NA
scatter3d(),150,150,5,Dimension Reduction,\texttt{scatter3d()}
